file_path,Brain,Genotype,Type,Striatal.Subregion,Bif_ampl_local,Bif_ampl_remote,Branch_Order,Depth,Sum_EucDistance,Max_EucDistance,Fractal_Dim,Height,Length,N_bifs,N_branch,N_stems,N_tips,Partition_asymmetry,Sum_PathDistance,Max_PathDistance,Width,Terminal_degree,Bif_tilt_local,Bif_tilt_remote,Bif_torque_local,Bif_torque_remote,ABEL_All,BAPL_All,ABEL_Internal,BAPL_Internal,ABEL_Terminal,BAPL_Terminal,Balancing_Factor,Centripetal_Bias,Convexity
hTME16-1_03_xyz-7131-9546-217,hTME16-1,WT,D2,CPi,81.3011,71.9169,4,99.25,51296.8,99.5763,1.02882,157.519,2315.25,25,58,8,33,0.409333,63217.3,119.867,124.849,1.30994,113.064,124.679,83.923,93.5087,34.6827679,39.91344828,17.28055645,18.99,47.86626142,55.76454545,0.771978553,4.558635016,0.911020408
hTME16-1_03_xyz-7155-8729-284,hTME16-1,WT,D2,CPi,67.9576,68.1292,2,73.32,16819.9,86.4935,1.05144,129.311,904.98,8,21,5,13,0.125,20788.2,121.066,93.5281,1.22764,128.568,128.548,81.8585,78.2407,36.30294657,43.08857143,21.1314113,23.68375,45.63927598,55.03,0.749349244,4.052698595,0.906666667
hTME16-1_03_xyz-7655-13622-83,hTME16-1,WT,D2,CPr,85.6678,69.6231,8,56.98,28033.5,91.5578,1.03584,126.46,1477.96,25,53,3,28,0.439751,50671.8,203.169,83.2812,1.82353,100.629,118.508,87.0552,78.8668,22.29481754,27.88056604,14.58442329,20.3676,29.17909812,34.58857143,0.65806484,2.748044076,0.9
hTME16-1_03_xyz-7837-6524-281,hTME16-1,WT,D1,CPi,51.7778,54.9785,4,50.38,18972.2,83.2225,1.04627,124.32,1373.65,17,39,5,22,0.462745,29601.2,128.003,97.7997,1.2334,132.454,118.144,86.7915,81.0487,28.72524667,35.21615385,11.86816987,13.60352941,41.75116965,51.91681818,0.703047852,3.280346132,0.880208333
hTME16-1_03_xyz-8574-7315-209,hTME16-1,WT,D1,CPi,56.8424,63.2183,4,66.97,34035.6,107.301,1.03005,158.17,1801.71,18,41,5,23,0.446296,40411.6,160.217,147.683,1.28571,131.931,130.271,92.8174,98.8947,38.38636117,43.9395122,15.83785212,16.87944444,56.03302042,65.11695652,0.815270783,5.919475295,0.9104
hTME16-1_03_xyz-9185-11658-249,hTME16-1,WT,D1,CPi,84.7511,49.1511,3,122.93,32862,114.121,1.025,69.7401,1209.11,12,28,4,16,0.375,38075.4,140.835,139.547,1.3559,100.829,136.656,93.4578,92.6529,38.04401029,43.1775,23.96756194,25.66833333,48.60134655,56.309375,0.823659227,6.270403001,0.944444444
hTME16-1_03_xyz-9248-11061-255,hTME16-1,WT,D1,CPi,72.5261,66.0975,4,100.35,36537.5,94.6479,1.02139,143.21,1670.79,18,40,4,22,0.374074,43733.9,115.102,131.1,1.18283,125.434,127.942,99.4648,91.637,37.71588281,41.764,11.43206255,11.93444444,59.22082666,66.17,0.822188451,6.206197941,0.918402778
hTME16-1_04_xyz-10467-14005-183,hTME16-1,WT,D2,CPi,80.2307,44.647,3,43,29256.9,119.202,1.03247,176.702,1332.7,8,24,8,16,0.375,34952,140.787,93.6976,1.13962,113.707,133.248,102.491,72.1462,46.93560456,55.52416667,14.99699609,15.79,62.90490879,75.39125,0.801051908,5.399525117,0.799382716
hTME16-1_04_xyz-10488-14038-325,hTME16-1,WT,D2,CPi,58.6477,71.7316,5,67.22,19740.4,109.817,1.04519,157.99,1061.2,11,26,4,15,0.563636,25941,123.721,83.3002,1.25708,128.921,117.573,111.297,109.897,33.52055237,40.81038462,10.85677971,11.74181818,50.14065232,62.12733333,0.746415071,3.99441901,0.892733564
hTME16-1_04_xyz-3492-9647-75,hTME16-1,WT,D1,CPi,82.3524,50.7742,4,50.99,20248.6,98.7267,1.03873,146.48,1150.9,12,31,7,19,0.516667,24637.1,121.846,102.58,1.34921,112.246,130.352,70.1067,84.5355,31.51194769,37.12096774,22.58451874,25.43666667,37.15032386,44.50052632,0.809897572,5.712781219,0.882086168
hTME16-1_04_xyz-4396-6485-115,hTME16-1,WT,D2,CPi,69.6475,67.8708,10,82.71,29094.6,110.124,1.03539,147.638,1824.17,26,57,5,31,0.497436,37423.5,128.815,132.427,1.36348,113.594,121.952,65.7798,69.9502,27.44470321,31.99754386,13.11113366,14.39,39.4664067,46.76516129,0.742892953,3.926410229,0.7456382
hTME16-1_04_xyz-4424-5361-213,hTME16-1,WT,D2,CPi,56.2104,55.9733,5,66.41,36463.8,110.75,1.04072,179.619,2003.79,21,47,5,26,0.275737,49627.7,180.483,117.5,1.30942,134.354,126.312,71.7134,79.2218,34.51905907,42.62914894,16.4171487,17.96285714,49.13983284,62.55192308,0.730048663,3.695024734,0.891581633
hTME16-1_04_xyz-4618-6371-157,hTME16-1,WT,D2,CPi,67.3874,70.4108,3,100.5,39507.1,132.597,1.04138,136.908,2613.59,22,58,14,36,0.212121,51076.2,175.962,149.757,1.22798,120.354,123.127,88.0051,93.4079,37.62642672,45.05637931,20.46524946,24.29090909,48.11381282,57.74638889,0.756532022,4.201971533,0.709141274
hTME16-1_04_xyz-4970-5608-217,hTME16-1,WT,D1,CPi,73.2163,57.6856,6,101.06,49876.4,123.596,1.02393,147.4,2185.88,20,45,5,25,0.4,59257.8,139.025,132.549,1.14045,121.33,130.702,103.552,110.75,43.59055062,48.57088889,10.81053218,11.236,69.81456537,78.4388,0.814241108,5.878831857,0.90260631
hTME16-1_04_xyz-5213-10461-232,hTME16-1,WT,D1,CPi,52.4512,64.7301,4,108.29,30261.2,111.922,1.03491,113.966,1656.87,20,46,6,26,0.465476,38773.6,146.577,109.897,1.29746,132.054,124.911,89.0089,88.934,30.27860943,36.01391304,12.66547603,13.7955,43.82717358,53.105,0.759337676,4.262974793,0.890306122
hTME16-1_04_xyz-5357-12368-265,hTME16-1,WT,D1,CPi,73.8814,59.6327,6,67.72,14374.5,82.2399,1.03401,118.21,942.211,14,30,2,16,0.419545,19597.8,105.254,70.144,1.32565,120.293,128.586,99.5549,79.335,25.63487178,31.402,10.00218589,10.57785714,39.31347193,49.623125,0.712794495,3.420092427,0.87962963
hTME16-1_04_xyz-5416-6486-112,hTME16-1,WT,D1,CPi,78.9465,62.1688,5,86,35037.8,101.006,1.03038,140.538,1881.95,18,44,8,26,0.433333,43356,117.583,104.149,1.24063,118.618,124.438,74.8627,74.0495,36.95586483,42.76659091,14.50710549,15.78722222,52.49731361,61.44461538,0.763287924,4.35159621,0.908163265
hTME16-1_04_xyz-5528-10783-275,hTME16-1,WT,D1,CPi,70.4905,59.8419,6,103.31,68154.8,120.789,1.02332,155.46,2861.04,31,71,9,40,0.260753,81113.9,142.023,139.141,1.34002,118.267,129.181,81.1992,70.4622,35.8713207,40.29126761,20.81575021,22.35516129,47.53938783,54.19175,0.795743009,5.225997925,0.853741497
hTME16-1_04_xyz-5604-13777-240,hTME16-1,WT,D1,CPi,72.9351,60.2222,7,86.82,80518.8,145.777,1.02649,184.83,3100.04,37,78,4,41,0.458108,96365.2,168.676,124.998,1.28374,120.656,127.93,97.2722,89.7372,34.9008698,39.73884615,12.02559186,12.55702703,55.5444133,64.26878049,0.796527236,5.250995952,0.826392645
hTME16-1_04_xyz-5891-5515-108,hTME16-1,WT,D2,CPi,62.7302,52.3459,3,70.51,32477.4,113.748,1.03236,182.631,1543.92,15,35,5,20,0.166667,38954.5,150.479,112.1,1.36585,121.121,130.731,97.5565,92.789,38.57599193,44.10657143,24.52332401,26.928,49.11549287,56.9905,0.809675435,5.704516167,0.929752066
hTME16-1_04_xyz-6825-13047-113,hTME16-1,WT,D2,CPi,61.0295,60.6377,4,67.69,37145.7,111.809,1.04459,153.593,1884.87,18,41,5,23,0.408995,48623.8,152.079,133.523,1.23802,125.021,123.669,105.177,83.0287,36.97114555,45.96780488,16.88229394,18.19555556,52.69285551,67.7026087,0.758607165,4.246939406,0.7808
hTME16-1_04_xyz-7196-5653-284,hTME16-1,WT,D2,CPi,61.4198,72.4414,5,101.74,29000.1,104.314,1.04026,131.569,1502.18,17,37,3,20,0.342297,38903.7,129.202,111.471,1.28765,129.377,117.935,82.8752,79.8052,34.37860304,40.59405405,9.649829309,9.972941176,55.39806071,66.622,0.674679155,2.925816105,0.91322314
hTME16-1_04_xyz-7483-6969-272,hTME16-1,WT,D1,CPi,54.1656,72.5023,4,96.3,46832.1,107.341,1.03679,156.921,2355.57,24,57,9,33,0.304563,57227.4,127.992,131.877,1.23899,137.484,122.38,87.9674,100.576,34.98153314,41.32105263,14.23494884,15.09166667,50.06995809,60.3969697,0.769057402,4.487107741,0.795102041
hTME16-1_04_xyz-8486-8961-249,hTME16-1,WT,D2,CPi,66.2948,76.37,5,119.13,50454.6,111.133,1.04157,138.172,2170.64,24,53,5,29,0.416667,62293.9,142.521,122.865,1.27778,125.187,120.762,73.9691,80.8248,33.54151066,40.95018868,13.09427634,13.75125,50.46335974,63.45965517,0.74250683,3.919080159,0.849115505
hTME16-1_04_xyz-8535-12277-349,hTME16-1,WT,D2,CPi,89.5275,81.2821,5,57.44,22753.1,95.8735,1.05239,149.01,1278.93,19,42,4,23,0.622807,31227.2,117.394,50.7591,1.47538,110.342,105.942,110.482,113.094,24.56654065,30.44571429,12.37378124,13.41105263,34.63882015,44.51782609,0.670204725,2.876004429,0.8128
hTME16-1_04_xyz-8561-6886-152,hTME16-1,WT,D2,CPi,70.0123,105.298,3,70.39,17524.5,118.65,1.05631,176.61,886.273,5,14,4,9,0.266667,23660.2,137.844,111.349,1.16102,115.364,100.201,115.074,123.739,44.72923408,63.3,14.85222276,15.5,61.3275737,89.85555556,0.655175455,2.719040817,0.851239669
hTME16-1_04_xyz-8697-6304-294,hTME16-1,WT,D2,CPi,94.123,74.5,5,63.46,25630,137.178,1.03496,169.65,1193.93,16,34,2,18,0.300379,35609.4,169.671,90.6002,1.35294,107.187,118.577,91.6456,90.507,29.87604527,35.11147059,14.16664375,16.7275,43.83995774,51.45277778,0.722464831,3.56951661,0.9175
hTME16-1_04_xyz-8746-14214-240,hTME16-1,WT,D1,CPi,59.9707,63.0282,5,85.77,40963,113.277,1.02139,191.05,2022.45,22,49,5,27,0.386364,48278.3,146.326,120.41,1.27692,125.352,124.461,80.527,90.0177,37.20794748,41.26959184,12.75737758,13.53272727,57.13063407,63.87,0.84304903,7.243713628,0.827586207
