"file_path","Box","Brain","Type","Striatal.Subregion","Sex","Bif_ampl_local","Bif_ampl_remote","Branch_Order","Depth","Sum_EucDistance","Max_EucDistance","Fractal_Dim","Height","Length","N_bifs","N_branch","N_stems","N_tips","Partition_asymmetry","Sum_PathDistance","Max_PathDistance","Width","Terminal_degree","Bif_tilt_local","Bif_tilt_remote","Bif_torque_local","Bif_torque_remote","ABEL_All","BAPL_All","ABEL_Internal","BAPL_Internal","ABEL_Terminal","BAPL_Terminal","Balancing_Factor","Centripetal_Bias","Convexity","Cluster","x","y","z","CP box"
"899_TME07-1_30x_Str_05A_xyz-6280-13778-264","3845","TME07-1","D1","CPc","Male",61.9724118208335,59.4587288762172,4.02818589527019,132.911284749134,130979.20828117,145.0820838588,1.02629510808844,226.719276490019,4078.46830232492,28.007999576031,64.0189830232586,8.0029838711967,36.0109834472277,0.273781564099998,154796.585670557,191.515135491695,179.825955485099,1.16666697697791,130.963374576954,130.940764936627,91.3257053160793,100.312231303014,55.2718954260716,63.7042283638194,19.9901467036727,21.4646470067895,82.8956082009457,96.7766744116952,0.815542061291797,5.92014514739287,0.90153874226527,6,750,2750,750,77
"900_TME07-1_30x_Str_05A_xyz-6318-16149-314","3843","TME07-1","D2","CPi","Male",58.7666118208335,63.5689288762172,7.02818589527019,119.101284749134,84897.40828117,135.9750838588,1.02129510808844,199.259276490019,2919.25830232492,32.007999576031,68.0189830232586,4.0029838711967,36.0109834472277,0.531345564099998,105873.585670557,149.911135491695,166.145955485099,1.33484697697791,134.644374576954,133.724764936627,96.3022053160793,85.2254313030139,37.3512346760716,42.2819703038194,13.9326855836727,14.7822575167895,58.4219848009457,67.0235315516952,0.787815374291797,4.95120070539287,0.71673231426527,6,-250,2750,750,75
"901_TME07-1_30x_Str_05A_xyz-6603-12120-210","3845","TME07-1","D2","CPc","Male",73.1550118208335,64.4475288762171,5.02818589527019,146.131284749134,118697.20828117,152.3410838588,1.02523510808844,187.230276490019,4004.40830232492,32.007999576031,71.0189830232586,7.0029838711967,39.0109834472277,0.395288564099998,142187.585670557,175.510135491695,184.794955485099,1.19263697697792,122.931374576954,129.158764936627,97.7975053160793,94.1024313030139,49.3921150260716,56.1710282738194,14.9513331136727,15.8235478367895,77.8647241009457,89.5337420816952,0.776752090291797,4.63953331539287,0.78265086826527,6,750,2750,750,77
"902_TME07-1_30x_Str_05A_xyz-6716-7781-379","4081","TME07-1","D1","CPi","Male",77.5821118208334,68.4519288762172,4.02818589527019,74.9812847491343,44746.50828117,147.9540838588,1.03436510808844,266.089276490019,1342.34830232492,11.007999576031,25.0189830232586,3.0029838711967,14.0109834472277,0.298472564099998,52946.2856705572,179.943135491695,97.1470554850991,1.33825697697792,123.838374576954,120.851764936627,88.6453053160793,107.784231303014,44.1304475360716,52.7078398738194,30.2172999036727,31.7991284867895,55.2407278909457,69.2810700116952,0.728609241291797,3.61003592139287,0.90237309026527,2,1750,2750,1250,110
"903_TME07-1_30x_Str_05A_xyz-6732-12419-387","4079","TME07-1","D1","CPi","Male",53.6229118208335,62.7215288762171,6.02818589527019,141.121284749134,140877.20828117,163.8970838588,1.02504510808844,203.509276490019,4451.97830232492,40.007999576031,86.0189830232586,6.0029838711967,46.0109834472277,0.318435564099998,173206.585670557,183.070135491695,180.385955485099,1.26971697697792,139.990374576954,134.424764936627,89.6351053160793,91.7664313030139,43.9926274360716,51.4751845938194,15.7999239636727,16.2527951567895,68.7678699409457,82.4030871116952,0.756055664291797,4.14106539639287,0.83446503726527,2,750,2750,1250,108
"904_TME07-1_30x_Str_05A_xyz-6850-14154-348","3844","TME07-1","D1","CPi","Male",75.0539118208334,73.2630288762171,7.02818589527019,131.811284749134,133330.20828117,142.3490838588,1.03067510808844,212.549276490019,4198.40830232492,36.007999576031,77.0189830232586,5.0029838711967,41.0109834472277,0.400803564099998,173532.585670557,207.449135491695,185.144955485099,1.31372697697791,114.520374576954,121.249764936627,91.3343053160793,93.2485313030139,46.0701531260716,54.2669703038194,19.1647107336727,20.9364141967895,69.9483115909457,83.8255315516952,0.737770926291797,3.77347483739287,0.75695358926527,3,250,2750,750,76
"905_TME07-1_30x_Str_05A_xyz-6952-10754-117","3846","TME07-1","D1","CPc","Male",81.6221118208335,61.7081288762171,6.02818589527019,143.091284749134,80064.50828117,167.8690838588,1.02707510808844,231.118276490019,3726.34830232492,28.007999576031,63.0189830232586,7.0029838711967,35.0109834472277,0.325632564099998,97068.0856705572,194.902135491695,178.723955485099,1.19351697697792,107.726374576954,127.707764936627,91.8709053160793,96.7083313030139,51.7169775560716,58.9753309638194,18.9847207436727,20.6387210767895,78.1011670009457,89.8862962616952,0.813099091291797,5.82167737739288,0.90061383126527,6,1250,2750,750,78
"906_TME07-1_30x_Str_05A_xyz-7005-17745-305","3843","TME07-1","D1","CPc","Male",76.1704118208335,67.9437288762172,5.02818589527019,158.071284749134,149366.20828117,140.1920838588,1.03168510808844,208.157276490019,4946.07830232492,44.007999576031,95.0189830232586,7.0029838711967,51.0109834472277,0.413847564099998,183359.585670557,161.670135491695,175.674955485099,1.23527697697792,120.678374576954,127.900764936627,87.7373053160793,78.0287313030139,44.2160447860716,51.8099810538194,17.2468022636727,18.2175238367895,67.7556953509457,81.1073315516952,0.768698314291797,4.43363885139287,0.71686684426527,6,-250,2750,750,75
"907_TME07-1_30x_Str_05A_xyz-7033-15212-349","3844","TME07-1","D1","CPi","Male",79.5542118208334,86.7460288762172,4.02818589527019,143.791284749134,74877.20828117,168.0280838588,1.02940510808844,216.299276490019,2169.54830232492,13.007999576031,31.0189830232586,5.0029838711967,18.0109834472277,0.373472564099998,100225.785670557,237.744135491695,158.230955485099,1.27269697697792,112.644374576954,108.754764936627,93.3164053160793,95.3318313030139,57.9794924160716,70.3342116838194,28.9531915436727,31.1686284867895,78.9196057409457,98.5271786116952,0.633619517291797,2.44000126239287,0.85056638026527,3,250,2750,750,76
"908_TME07-1_30x_Str_05A_xyz-7149-12962-55","3845","TME07-1","D2","CPc","Male",84.7274118208335,72.5399288762171,6.02818589527019,115.231284749134,87995.70828117,161.6920838588,1.02924510808844,200.559276490019,3111.66830232492,32.007999576031,71.0189830232586,7.0029838711967,39.0109834472277,0.519171564099998,108283.585670557,189.969135491695,140.785955485099,1.36302697697792,109.309374576954,123.086764936627,76.3224053160793,87.5954313030139,37.3723100660716,43.2329123338194,15.7342852636727,16.8070962267895,55.4005646609457,65.2384789216952,0.740904628291797,3.83235394139287,0.78015086826527,6,750,2750,750,77
